"","Site","Species","n","DDLat","DDLong"
"145",183,"LMB",1,33.84273,-86.06119
"146",184,"LMB",1,33.83505,-86.054558
"147",184,"ALB",4,33.83505,-86.054558
"148",185,"ALB",2,33.834095,-86.04851
"149",185,"LMB",1,33.834095,-86.04851
"150",186,"ALB",1,33.829887,-86.047746
"151",186,"LMB",4,33.829887,-86.047746
"152",190,"ALB",1,33.826533,-86.042857
"153",190,"LMB",3,33.826533,-86.042857
"154",191,"LMB",4,33.820252,-86.051702
"155",191,"ALB",2,33.820252,-86.051702
"156",192,"ALB",2,33.820919,-86.049583
"157",192,"LMB",3,33.820919,-86.049583
"158",199,"ALB",1,33.810995,-86.062206
"159",200,"ALB",2,33.803451,-86.055039
"160",200,"LMB",6,33.803451,-86.055039
"161",201,"LMB",9,33.80002,-86.058231
"162",201,"ALB",1,33.80002,-86.058231
"163",202,"LMB",7,33.795197,-86.057131
"164",202,"ALB",4,33.795197,-86.057131
"165",203,"ALB",1,33.790726,-86.05716
"166",203,"LMB",5,33.790726,-86.05716
"167",204,"ALB",2,33.789698,-86.053475
"168",204,"LMB",10,33.789698,-86.053475
