Month,Day,Year,ReleaseEvent,TagSite,Species,TL,RewardTag1,RewardTag2,Radio.Tag.Frequency,Code,Combined,Group,Notes,Lat,Long,MortalitySignal,GroupMovement,SignalStrength,Flight,TournamentRelease ,TJ,ReportedTourneyRelease,ReleaseRamp,ManuallyTracked
8,2,2022,1,58,LMB,423,949,905,148.152,,,,,33.87348333,-86.06303333,D,D,,,,,,,Y
9,11,2022,1,58,LMB,423,949,905,148.152,,,,,33.87353333,-86.06306667,D,D,,,,,,,Y
1,18,2022,1,39,LMB,478,1050,NA,148.162,,,,Tag Site,33.855583,-86.11013117,A,A,,,,,,,Y
3,2,2022,1,39,LMB,478,1050,NA,148.162,,,,,33.85861667,-86.12173333,A,A,,,,,,,N
6,16,2022,1,39,LMB,478,1050,NA,148.162,,,,,33.8571,-86.12013333,D,A,,,,,,,Y
7,5,2022,1,39,LMB,478,1050,NA,148.162,,,,Canoe Creek,33.866051,-86.097232,D,D,,,,,,,N
8,2,2022,1,39,LMB,478,1050,NA,148.162,,,,,33.8545,-86.11278,D,D,,,,,,,N
1,14,2022,1,17,LMB,440,1290,NA,148.172,,,,Tag Site,33.81291883,-86.09195,A,A,,,,,,,Y
3,2,2022,1,17,LMB,440,1290,NA,148.172,,,,Site 18,33.81577117,-86.082422,A,A,,,,,,,N
4,8,2022,1,17,LMB,440,1290,NA,148.172,,,,,33.8137,-86.0919,A,A,,,,,,,Y
5,12,2022,1,17,LMB,440,1290,NA,148.172,,,,,33.86826667,-86.10535,A,A,,,,,,,Y
7,6,2022,1,17,LMB,440,1290,NA,148.172,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
8,2,2022,1,17,LMB,440,1290,NA,148.172,,,,,33.87118,-86.1029,A,A,,,,,,,N
1,17,2022,1,152,LMB,434,1272,NA,148.182,,,,Tag Site,33.944001,-86.008671,A,A,,,,,,,Y
3,2,2022,1,152,LMB,434,1272,NA,148.182,,,,Site 157,33.936613,-86.031618,A,A,,,,,,,N
4,8,2022,1,152,LMB,434,1272,NA,148.182,,,,Site 152,33.944001,-86.008671,A,A,,,,,,,N
5,12,2022,1,152,LMB,434,1272,NA,148.182,,,,Site 153,33.944658,-86.013532,A,A,,,,,,,N
6,18,2022,1,152,LMB,434,1272,NA,148.182,,,,Site 69,33.950857,-86.004513,A,A,,,,,,,N
6,25,2022,1,152,LMB,434,1272,NA,148.182,,,,"CAUGHT BY ANGLER 6/25/2022, CL, REPORTED",34.010097,-85.997069,A,A,,,Y,,Y,CL,Y
1,18,2022,1,33,ALB,421,755,779,148.193,,,,Tag Site,33.860132,-86.062525,A,A,,,,,,,Y
3,2,2022,1,33,ALB,421,755,779,148.193,,,,Site 33,33.860132,-86.062525,A,A,,,,,,,N
4,8,2022,1,33,ALB,421,755,779,148.193,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
5,13,2022,1,33,ALB,421,755,779,148.193,,,,Site 33,33.860132,-86.062525,A,A,,,,,,,N
6,16,2022,1,33,ALB,421,755,779,148.193,,,,Site 33,33.860132,-86.062525,A,A,,,,,,,N
7,5,2022,1,33,ALB,421,755,779,148.193,,,,Site 34,33.864083,-86.074725,A,A,,,,,,,N
8,2,2022,1,33,ALB,421,755,779,148.193,,,,,33.86512,-86.06353,A,A,,,,,,,N
1,18,2022,1,39,LMB,420,1004,1005,148.203,,,,Tag Site,33.855583,-86.11013117,A,A,,,,,,,Y
3,2,2022,1,39,LMB,420,1004,1005,148.203,,,,,33.85721667,-86.1217333,A,A,,,,,,,N
4,8,2022,1,39,LMB,420,1004,1005,148.203,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
5,13,2022,1,39,LMB,420,1004,1005,148.203,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
7,5,2022,1,39,LMB,420,1004,1005,148.203,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
8,2,2022,1,39,LMB,420,1004,1005,148.203,,,,,33.85802,-86.09769,A,A,,,,,,,N
1,19,2022,1,50,LMB,395,2317,NA,148.211,,,,Tag Site,33.883732,-86.103115,A,A,,,,,,,Y
3,2,2022,1,50,LMB,395,2317,NA,148.211,,,,,33.87205,-86.1017333,A,A,,,,,,,N
4,8,2022,1,50,LMB,395,2317,NA,148.211,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
5,11,2022,1,50,LMB,395,2317,NA,148.211,,,,,34.01328333,-85.99573333,A,A,,,,,,,Y
6,18,2022,1,50,LMB,395,2317,NA,148.211,,,,,34.01258333,-85.99661667,A,A,,,,,,,Y
7,7,2022,1,50,LMB,395,2317,NA,148.211,,,,,34.01133333,-85.99598333,A,A,,,,,,,Y
8,4,2022,1,50,LMB,395,2317,NA,148.211,,,,,34.01331667,-85.9956,A,A,,,,,,,Y
9,12,2022,1,50,LMB,395,2317,NA,148.211,,,,,34.01278333,-85.9964,A,A,,,,,,,Y
1,25,2022,1,125,ALB,387,240,NA,148.221,,,,Tag Site,34.009937,-85.957836,A,A,,,,,,,Y
3,2,2022,1,125,ALB,387,240,NA,148.221,,,,,34.01223333,-85.95183333,A,A,,,,,,,N
4,7,2022,1,125,ALB,387,240,NA,148.221,,,,Site 125,34.009937,-85.957836,A,A,,,,,,,N
6,17,2022,1,125,ALB,387,240,NA,148.221,,,,Site 146,33.944761,-85.950209,A,A,,,,,,,N
7,6,2022,1,125,ALB,387,240,NA,148.221,,,,Site 146,33.944761,-85.950209,D,A,,,,,,,N
8,3,2022,1,125,ALB,387,240,NA,148.221,,,,,33.94614,-85.9566,D,D,,,,,,,N
1,12,2022,1,64,LMB,436,602,NA,148.232,,,,Tag Site,33.927753,-86.05248617,A,A,,,,,,,Y
3,2,2022,1,64,LMB,436,602,NA,148.232,,,,Site 65,33.935085,-86.040048,A,A,,,,,,,N
4,8,2022,1,64,LMB,436,602,NA,148.232,,,,Site 66,33.943865,-86.02673,A,A,,,,,,,N
5,12,2022,1,64,LMB,436,602,NA,148.232,,,,Site 159,33.9326,-86.03168,A,A,,,,,,,N
6,17,2022,1,64,LMB,436,602,NA,148.232,,,,Site 65,33.935085,-86.040048,A,A,,,,,,,N
7,7,2022,1,64,LMB,436,602,NA,148.232,,,,Site 198,33.816402,-86.05255,A,A,,,,,,,N
1,26,2022,1,88,ALB,417,1065,1192,148.251,,,,Tag Site,33.987203,-86.000184,A,A,,,,,,,Y
4,7,2022,1,88,ALB,417,1065,1192,148.251,,,,Site 131,33.990302,-85.998671,A,A,,,,,,,N
5,11,2022,1,88,ALB,417,1065,1192,148.251,,,,Site 131,33.990302,-85.998671,A,A,,,,,,,N
7,7,2022,1,88,ALB,417,1065,1192,148.251,,,,Site 89,33.997666,-86.001648,A,A,,,,,,,N
8,3,2022,1,88,ALB,417,1065,1192,148.251,,,,,33.98593,-86.00007,A,A,,,,,,,N
1,17,2022,1,25,LMB,363,1289,NA,148.261,,,,Tag Site,33.835995,-86.09171117,A,A,,,,,,,Y
3,2,2022,1,25,LMB,363,1289,NA,148.261,,,,Site 25,33.835995,-86.09171117,A,A,,,,,,,N
1,25,2022,1,128,ALB,397,226,NA,148.291,,,,Tag Site,34.015351,-85.987575,A,A,,,,,,,Y
4,7,2022,1,128,ALB,397,226,NA,148.291,,,,Site 134,33.979578,-85.995988,A,A,,,,,,,N
5,11,2022,1,128,ALB,397,226,NA,148.291,,,,Coosa Landing,34.01052,-85.997666,A,A,,,,,,,N
6,18,2022,1,128,ALB,397,226,NA,148.291,,,,Coal Creek,34.010648,-85.956572,A,A,,,,,,,N
7,7,2022,1,128,ALB,397,226,NA,148.291,,,,Coal Creek,34.010648,-85.956572,A,A,,,,,,,N
8,4,2022,1,128,ALB,397,226,NA,148.291,,,,,34.01156,-85.95468,D,A,,,,,,,N
1,20,2022,1,127,ALB,468,2338,2321,148.311,,,,Tag Site,34.018781,-85.985393,A,A,,,,,,,Y
3,2,2022,1,127,ALB,468,2338,2321,148.311,,,,,34.01339,-85.96898,A,A,,,,,,,N
4,7,2022,1,127,ALB,468,2338,2321,148.311,,,,Factory,34.01339,-85.96898,A,A,,,,,,,N
4,9,2022,1,127,ALB,468,2338,2321,148.311,,,,"CAUGHT, 4/9/2022, CL, REPORTED",34.010097,-85.997069,A,A,,,Y,,Y,CL,N
6,18,2022,1,127,ALB,468,2338,2321,148.311,,,,Tillosons,34.010648,-85.956572,A,A,,,Y,,Y,CL,N
7,7,2022,1,127,ALB,468,2338,2321,148.311,,,,Goodyear,34.01339,-85.96898,A,A,,,Y,,Y,CL,N
8,4,2022,1,127,ALB,468,2338,2321,148.311,,,,,34.01488,-85.91889,A,A,,,Y,,Y,CL,N
1,18,2022,1,55,LMB,472,447,NA,148.323,,,,Tag Site,33.866213,-86.083218,A,A,,,,,,,Y
3,2,2022,1,55,LMB,472,447,NA,148.323,,,,Site 58,33.872582,-86.06549,A,A,,,,,,,N
4,8,2022,1,55,LMB,472,447,NA,148.323,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
7,5,2022,1,55,LMB,472,447,NA,148.323,,,,Site 179,33.859405,-86.044698,A,A,,,,,,,N
1,26,2022,1,90,ALB,443,2252,2262,148.332,,,,Tag Site,34.010718,-85.998501,A,A,,,,,,,Y
3,2,2022,1,90,ALB,443,2252,2262,148.332,,,,,34.01048333,-85.99755,A,A,,,,,,,N
4,7,2022,1,90,ALB,443,2252,2262,148.332,,,,Site 89,33.997666,-86.001648,A,A,,,,,,,N
5,7,2022,1,90,ALB,443,2252,2262,148.332,,,,"CAUGHT, 5/7/22, CL, REPORTED",34.010097,-85.997069,A,A,,,Y,,Y,CL,Y
6,18,2022,1,90,ALB,443,2252,2262,148.332,,,,,34.00836667,-85.99818333,D,A,,,Y,,Y,CL,Y
7,7,2022,1,90,ALB,443,2252,2262,148.332,,,,Coosa Landing,34.01052,-85.997666,D,D,,,Y,,Y,CL,N
8,4,2022,1,90,ALB,443,2252,2262,148.332,,,,,34.00915,-85.99797,D,D,,,Y,,Y,CL,N
1,13,2022,1,70,LMB,416,1252,NA,148.343,,,,Tag Site,33.94856117,-86.0045,A,A,,,,,,,Y
3,2,2022,1,70,LMB,416,1252,NA,148.343,,,,Site 70,33.94856117,-86.0045,A,A,,,,,,,N
5,12,2022,1,70,LMB,416,1252,NA,148.343,,,,Site 70,33.94856117,-86.0045,NA,A,,,,,,,N
6,17,2022,1,70,LMB,416,1252,NA,148.343,,,,Site 69,33.950857,-86.004513,A,A,,,,,,,N
7,6,2022,1,70,LMB,416,1252,NA,148.343,,,,Site 70,33.94856117,-86.0045,A,A,,,,,,,N
8,3,2022,1,70,LMB,416,1252,NA,148.343,,,,,33.94915,-86.0153,A,A,,,,,,,N
1,25,2022,1,125,ALB,358,1177,1162,148.352,,,,Tag Site,34.009937,-85.957836,A,A,,,,,,,Y
3,2,2022,1,125,ALB,358,1177,1162,148.352,,,,,34.01027,-85.96143,A,A,,,,,,,N
4,7,2022,1,125,ALB,358,1177,1162,148.352,,,,,34.00975,-85.9622,A,A,,,,,,,Y
5,11,2022,1,125,ALB,358,1177,1162,148.352,,,,,34.00975,-85.96246667,A,A,,,,,,,Y
6,17,2022,1,125,ALB,358,1177,1162,148.352,,,,,33.9607,-85.96755,A,A,,,,,,,Y
7,6,2022,1,125,ALB,358,1177,1162,148.352,,,,,33.96113333,-85.9695,A,A,,,,,,,Y
8,4,2022,1,125,ALB,358,1177,1162,148.352,,,,,34.00973333,-85.99753333,A,A,,,,,,,Y
9,12,2022,1,125,ALB,358,1177,1162,148.352,,,,,34.00698333,-85.99895,D,A,,,,,,,Y
1,25,2022,1,128,ALB,412,236,237,148.361,,,,Tag Site,34.015351,-85.987575,A,A,,,,,,,Y
3,2,2022,1,128,ALB,412,236,237,148.361,,,,,34.01861667,-85.97723333,A,A,,,,,,,Y
4,7,2022,1,128,ALB,412,236,237,148.361,,,,,34.01806667,-85.97866667,A,A,,,,,,,Y
5,11,2022,1,128,ALB,412,236,237,148.361,,,,,34.01825,-85.97883333,A,A,,,,,,,Y
6,18,2022,1,128,ALB,412,236,237,148.361,,,,,33.99558333,-86.00161667,A,A,,,,,,,Y
7,7,2022,1,128,ALB,412,236,237,148.361,,,,,33.9908,-86.00728333,A,A,,,,,,,Y
8,3,2022,1,128,ALB,412,236,237,148.361,,,,,33.99086667,-86.0076,A,A,,,,,,,Y
9,12,2022,1,128,ALB,412,236,237,148.361,,,,,33.99108333,-86.00791667,A,A,,,,,,,Y
1,26,2022,1,90,ALB,390,362,NA,148.575,,,,Tag Site,34.010718,-85.998501,A,A,,,,,,,Y
3,2,2022,1,90,ALB,390,362,NA,148.575,,,,,34.02094,-85.98492,A,A,,,,,,,N
4,7,2022,1,90,ALB,390,362,NA,148.575,,,,Site 81,33.956362,-85.969226,A,A,,,,,,,N
7,6,2022,1,90,ALB,390,362,NA,148.575,,,,Site 82,33.964658,-85.9794,A,A,,,,,,,N
8,3,2022,1,90,ALB,390,362,NA,148.575,,,,,33.9519,-85.96157,D,A,,,,,,,N
1,20,2022,1,127,LMB,484,1022,1026,148.585,,,,Tag Site,34.018781,-85.985393,A,A,,,,,,,Y
3,2,2022,1,127,LMB,484,1022,1026,148.585,,,,,34.02144,-85.98683,A,A,,,,,,,N
3,22,2022,1,127,LMB,484,1022,1026,148.585,,,,"CAUGHT, 3/22/22, CL, REPORTED",34.010097,-85.997069,A,A,,,Y,,Y,CL,Y
4,7,2022,1,127,LMB,484,1022,1026,148.585,,,,,34.02086667,-85.98446667,A,A,,,Y,,Y,CL,N
5,11,2022,1,127,LMB,484,1022,1026,148.585,,,,Golf Course,34.010648,-85.956572,A,A,,,Y,,Y,CL,N
6,18,2022,1,127,LMB,484,1022,1026,148.585,,,,,34.0229,-85.98603333,D,A,,,Y,,Y,CL,Y
7,6,2022,1,127,LMB,484,1022,1026,148.585,,,,Goodyear,34.01339,-85.96898,D,D,,,Y,,Y,CL,N
8,4,2022,1,127,LMB,484,1022,1026,148.585,,,,,34.01795,-85.97642,D,D,,,Y,,Y,CL,N
1,14,2022,1,8,ALB,527,2268,NA,148.594,,,,Tag Site,33.79178,-86.068987,A,A,,,,,,,Y
4,8,2022,1,8,ALB,527,2268,NA,148.594,,,,,33.78933333,-86.07713333,A,A,,,,,,,Y
5,13,2022,1,8,ALB,527,2268,NA,148.594,,,,,33.7962,-86.06571667,A,A,,,,,,,Y
6,16,2022,1,8,ALB,527,2268,NA,148.594,,,,,33.79506667,-86.06181667,A,A,,,,,,,Y
7,7,2022,1,8,ALB,527,2268,NA,148.594,,,,,33.7909,-86.0645,A,A,,,,,,,Y
8,4,2022,1,8,ALB,527,2268,NA,148.594,,,,,33.80526667,-86.06605,A,A,,,,,,,Y
9,4,2022,1,8,ALB,527,2268,NA,148.594,,,,,33.8046,-86.06641667,A,A,,,,,,,Y
4,15,2023,1,8,ALB,527,2268,NA,148.594,,,,"CL, TJ, 4/15/23",34.010097,-85.997069,A,A,,,Y,Y,,CL,Y
5,9,2023,1,8,ALB,527,2268,NA,148.594,,,,,33.99525,-86.0017,A,A,,,Y,Y,,CL,Y
5,25,2023,1,8,ALB,527,2268,NA,148.594,,,,,33.99514,-86.00156,A,A,,,Y,Y,,CL,Y
6,6,2023,1,8,ALB,527,2268,NA,148.594,,,,,33.99632,-86.00199,D,A,,,Y,Y,,CL,Y
6,23,2023,1,8,ALB,527,2268,NA,148.594,,,,,33.99642,-86.00191,D,D,,,Y,Y,,CL,Y
1,13,2022,1,85,LMB,452,498,NA,148.605,,,,Tag Site,33.978697,-86.003161,A,A,,, ,,,,Y
4,7,2022,1,85,LMB,452,498,NA,148.605,,,,,33.9779,-85.9989,D,A,,,,,,,Y
5,12,2022,1,85,LMB,452,498,NA,148.605,,,,,33.978,-85.9988,A,D,,,,,,,Y
6,17,2022,1,85,LMB,452,498,NA,148.605,,,,,33.97781667,-85.99866667,D,D,,,,,,,Y
7,6,2022,1,85,LMB,452,498,NA,148.605,,,,,33.97811667,-85.99881667,D,D,,,,,,,Y
8,3,2022,1,85,LMB,452,498,NA,148.605,,,,,33.97786667,-85.998935,A,D,,,,,,,Y
9,12,2022,1,85,LMB,452,498,NA,148.605,,,,,33.97785,-85.99866667,D,D,,,,,,,Y
1,17,2022,1,3,LMB,437,275,273,148.621,,,,Tag Site,33.784395,-86.06783383,A,A,,, ,,,,Y
3,2,2022,1,3,LMB,437,275,273,148.621,,,,Site 203,33.790726,-86.05716,A,A,,,,,,,N
4,8,2022,1,3,LMB,437,275,273,148.621,,,,Site 9,33.802172,-86.068987,A,A,,,,,,,N
5,13,2022,1,3,LMB,437,275,273,148.621,,,,,33.7895,-86.07348333,A,A,,,,,,,Y
6,16,2022,1,3,LMB,437,275,273,148.621,,,,,33.79011667,-86.07856667,A,A,,,,,,,Y
7,5,2022,1,3,LMB,437,275,273,148.621,,,,,33.79025,-86.07528333,A,A,,,,,,,Y
8,2,2022,1,3,LMB,437,275,273,148.621,,,,,33.78896667,-86.07171667,A,A,,,,,,,Y
9,4,2022,1,3,LMB,437,275,273,148.621,,,,,33.7901,-86.07815,A,A,,,,,,,Y
1,26,2022,1,66,ALB,460,954,NA,148.652,,,,Tag Site,33.94386383,-86.026867,A,A,,, ,,,,Y
3,2,2022,1,66,ALB,460,954,NA,148.652,,,,Site 68,33.950568,-86.00978117,A,A,,,,,,,N
1,18,2022,1,34,ALB,385,1041,NA,148.681,,,,Tag Site,33.864083,-86.074725,A,A,,, ,,,,Y
3,2,2022,1,34,ALB,385,1041,NA,148.681,,,,Site 34,33.864083,-86.074725,A,A,,,,,,,N
4,8,2022,1,34,ALB,385,1041,NA,148.681,,,,Site 34,33.864083,-86.074725,A,A,,,,,,,N
5,13,2022,1,34,ALB,385,1041,NA,148.681,,,,Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
6,17,2022,1,34,ALB,385,1041,NA,148.681,,,,Site 34,33.864083,-86.074725,A,A,,,,,,,N
7,5,2022,1,34,ALB,385,1041,NA,148.681,,,,Site 84,33.976149,-85.999444,A,A,,,,,,,N
8,2,2022,1,34,ALB,385,1041,NA,148.681,,,,,33.86567,-86.07557,A,A,,,,,,,N
1,11,2022,1,60,LMB,485,1247,NA,148.711,,,,Tag Site,33.888892,-86.069385,A,A,,, ,,,,Y
